name,description,address,postal_code
Pasir Ris St 72,HDB Public Shelter,Blk 720 Pasir Ris St 72 #01-105 S5107,510720
Pasir Ris Dr 10,HDB Public Shelter,Blk 739 Pasir Ris Dr 10 #01-11 S5107,510739
Pasir Ris St 71,HDB Public Shelter,Blk 741 Pasir Ris St 71 #01-39 S5107,510741
Pasir Ris St 71,HDB Public Shelter,Blk 750 Pasir Ris St 71 #01-10 S5107,510750
Pasir Ris St 71,HDB Public Shelter,Blk 753 Pasir Ris St 71 #01-118 S5107,510753
Pasir Ris St 71,HDB Public Shelter,Blk 760 Pasir Ris St 71 #01-202 S5107,510760
Pasir Ris St 71,HDB Public Shelter,Blk 766 Pasir Ris St 71 #01-308 S5107,510766
Pasir Ris St 71,HDB Public Shelter,Blk 775 Pasir Ris St 71 #01-402 S5107,510775
Pasir Ris St 71,HDB Public Shelter,Blk 776 Pasir Ris Street 71 #01-412 S5107,510776
Hougang St 21,HDB Public Shelter,Blk 221 Hougang St 21 #B1-100 S5302,530221
Hougang St 21,HDB Public Shelter,Blk 221 Hougang St 21 #B1-68 S5302,530221
Hougang St 21,HDB Public Shelter,Blk 222 Hougang St 21 #B1-134 S5302,530222
Hougang Ave 9,HDB Public Shelter,Blk 925 Hougang Ave 9 #01-41 S5309,530925
Hougang Ave 9,HDB Public Shelter,Blk 927 Hougang Ave 9 #01-69 S5309,530927
Hougang Ave 6,HDB Public Shelter,Blk 422 Hougang Ave 6 #B1-122 S5304,530422
Hougang Ave 6,HDB Public Shelter,Blk 423 Hougang Ave 6 #B1-102 S5304,530423
Hougang Ave 6,HDB Public Shelter,Blk 424 Hougang Ave 6 #B1-74 S5304,530424
Hougang Ave 6,HDB Public Shelter,Blk 425 Hougang Ave 6 #B1-62 S5304,530424
Hougang Ave 6,HDB Public Shelter,Blk 426 Hougang Ave 6 #B1-46 S5304,530424
Hougang Ave 6,HDB Public Shelter,Blk 428 Hougang Ave 6 #B1-12 S5304,530428
Hougang Ave 8,HDB Public Shelter,Blk 468 Hougang Ave 8 #01-1510 S5304,530468
Tampines St 71,HDB Public Shelter,Blk 702 Tampines St 71 #01-14 S5207,520702
Tampines St 71,HDB Public Shelter,Blk 703 Tampines St 71 #01-34 S5207,520703
Tampines St 71,HDB Public Shelter,Blk 708 Tampines St 71 #01-102 S5207,520708
Tampines St 71,HDB Public Shelter,Blk 710 Tampines St 71 #01-134 S5207,520710
Tampines St 72,HDB Public Shelter,Blk 717 Tampines St 72 #01-75 S5207,520717
Tampines St 72,HDB Public Shelter,Blk 719 Tampines St 72 #01-37 S5207,520719
Tampines St 71,HDB Public Shelter,Blk 730 Tampines Street 71 #01-61 S5207,520730
Tampines St 72,HDB Public Shelter,Blk 735 Tampines Street 72 #01-04 S5207,520735
Tampines St 72,HDB Public Shelter,Blk 741 Tampines Street 72 #01-74 S5207,520741
Tampines St 82,HDB Public Shelter,Blk 842C Tampines St 82 #01-46 S5238,523842
Tampines St 82,HDB Public Shelter,Blk 842G Tampines St 82 #01-96 S5218,521842
Tampines St 82,HDB Public Shelter,Blk 856E/856F Tampines St 82 #01-208 S5258,525856
Tampines St 24,HDB Public Shelter,Blk 230B Tampines St 24 #01-21 S5252,525230
Tampines St 33,HDB Public Shelter,Blk 354 Tampines St 33 #01-530 S5203,520354
Tampines St 33,HDB Public Shelter,Blk 357 Tampines St 33 #01-610 S5203,520357
Tampines St 34,HDB Public Shelter,Blk 361 Tampines St 34 #01-401 S5203,520361
Tampines St 34,HDB Public Shelter,Blk 364 Tampines St 34 #01-133 S5203,520364
Tampines St 34,HDB Public Shelter,Blk 367 Tampines St 34 #01-77 S5203,520367
Tampines St 34,HDB Public Shelter,Blk 374 Tampines St 34 #01-42 S5203,520374
Tampines St 32,HDB Public Shelter,Blk 387 Tampines St 32 #01-87 S5203,520387
Tampines Ave 7,HDB Public Shelter,Blk 393 Tampines Ave 7 #01-251 S5203,520393
Tampines St 42,HDB Public Shelter,Blk 450A Tampines St 42 #01-356 S5214,521450
Tampines St 42,HDB Public Shelter,Blk 450G Tampines St 42 #01-382 S5274,527450
Tampines Ave 9,HDB Public Shelter,Blk 487A Tampines Ave 9 #B1-96 S5204,520487
Tampines Street 45,HDB Public Shelter,Blk 487B Tampines Street 45 #B1-123 S5214,521487
Tampines St 44,HDB Public Shelter,Blk 487C Tampines St 4497H5 #B1-103 S5224,522487
Tampines St 45,HDB Public Shelter,Blk 488B Tampines St 45 #B1-147 S5214,521488
Tampines St 45,HDB Public Shelter,Blk 491D/491E Tampines St 45 #01-224 S5234,523491
Tampines Ave 9,HDB Public Shelter,Blk 492B Tampines Ave 9 #01-422 S5204,520492
Tampines St 43,HDB Public Shelter,Blk 493D/493E Tampines St 43 #01-326 S5204,520493
Tampines Ave 9,HDB Public Shelter,Blk 494B Tampines Ave 9 #01-458 S5204,520494
Tampines Ave 9,HDB Public Shelter,Blk 496G Tampines Ave 9 #01-500 S5204,520496
Tampines St 45,HDB Public Shelter,Blk 497C Tampines St 45 #01-54 S5224,522497
Tampines St 45,HDB Public Shelter,Blk 497H Tampines St 45 #01-92 S5264,526497
Tampines St 45,HDB Public Shelter,Blk 498A Tampines St 45 #01-360 S5204,520498
Tampines St 45,HDB Public Shelter,Blk 498M Tampines St 45 #01-498 S5294,529498
Tampines Ave 8,HDB Public Shelter,Blk 891 Tampines Ave 8 #01-82 S5208,520891
Hougang Street 11,HDB Public Shelter,Blk 159 Hougang Street 11#01-17 S(53015,530159
Hougang Ave 1,HDB Public Shelter,Blk 165 Hougang Ave 1 #01-1598 S5301,530165
Hougang Central,HDB Public Shelter,Blk 836 Hougang Central #01-539 S5308,530836
Hougang Central,HDB Public Shelter,Blk 837 Hougang Central #01-527 S5308,530837
Serangoon North Ave 4,HDB Public Shelter,Blk 509 Serangoon North Ave 4 #01-360 S5505,550509
Serangoon North Ave 4,HDB Public Shelter,Blk 512 Serangoon North Ave 4 #01-416 S5505,550512
Serangoon North Ave 4,HDB Public Shelter,Blk 517 Serangoon North Ave 4 #B1-228 S5505,550517
Serangoon North Ave 4,HDB Public Shelter,Blk 518 Serangoon North Ave 4 #B1-208 S5505,550518
Serangoon North Ave 4,HDB Public Shelter,Blk 523 Serangoon North Ave 4 #B1-30 S5505,550523
Serangoon North Ave 4,HDB Public Shelter,Blk 524 Serangoon North Ave 4 #B1-46 S5505,550523
Serangoon North Ave 4,HDB Public Shelter,"Blk 533 Serangoon North Ave 4 #B1-233, S5505",550533
Serangoon North Ave 4,HDB Public Shelter,Blk 534 Serangoon North Ave 4 #B1-207 S5505,550534
Serangoon North Ave 4,HDB Public Shelter,Blk 540 Serangoon North Ave 4 #B1-109 S5505,550540
Serangoon North Ave 4,HDB Public Shelter,Blk 541 Serangoon North Ave 4 #B1-129 S5505,550541
Serangoon North Ave 3,HDB Public Shelter,Blk 546 Serangoon North Ave 3 #01-226 S5505,550546
